Square,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier
enemy_7,1,10,0.65,1
#reward,400,,,
,,,Wave 32,
enemy_6,0,0,0,
enemy_6,0,15,0.9,1
enemy_7,1,15,1.2,1
enemy_5,1,50,0.2,0.8
#reward,400,,,
,,,Wave 33,
enemy_7,0,0,0,
enemy_7,0,35,0.9,1.1
#reward,400,,,
,,,Wave 34,
enemy_4,0,0,0,
enemy_9,0,30,0.5,
#reward,400,,,
,,,Wave 35,
enemy_7,0,0,0,
enemy_11,0,5,1,
enemy_9,1,15,0.7,
enemy_5,0.1,50,0.2,
#reward,400,,,
,,,Wave 36,
enemy_5,0,0,0,
enemy_7,1,30,0.9,1
enemy_5,0.1,30,0.3,1
enemy_10,1,7,0.8,1
#reward,400,,,
,,,Wave 37,
enemy_6,0,0,0,
enemy_6,0,8,0.7,1.2
enemy_7,0,25,1,1.2
enemy_6,0.5,8,0.4,1.2
enemy_5,0.1,20,0.4,1.2
enemy_4,0.1,15,0.3,1.2
#reward,400,,,
,,,Wave 38,
enemy_7,0,0,0,
enemy_7,0,17,0.8,1
enemy_5,0,50,0.3,1
enemy_9,0.5,15,0.6,1
enemy_7,0.7,10,0.6,1
enemy_9,1,20,0.3,
#reward,400,,,
,,,Wave 39,
enemy_6,0,0,0,
enemy_6,0,30,0.4,1.2
enemy_7,0,35,0.5,1.2
enemy_7,0.5,20,0.4,1.2
enemy_9,1,15,0.5,1.2
enemy_9,0.5,35,0.4,1.2
#reward,500,,,
,,,Wave 40,
enemy_6,0,0,0,
enemy_6,0,15,0.4,
enemy_7,0,15,0.7,
enemy_8,0,3,1.5,
enemy_8,0.4,5,1.2,
enemy_9,0.3,20,0.6,
#reward,500,,,
,,,Wave 41,
enemy_6,0,0,0,
enemy_8,0,20,1.3,
enemy_6,1.5,60,0.5,
#reward,500,,,
,,,Wave 42,
enemy_9,0,0,0,
enemy_9,0,16,0.6,1.05
enemy_9,1,16,0.4,1.05
#reward,500,,,
,,,Wave 43,
enemy_9,0,0,0,
enemy_7,0,30,0.5,1
enemy_5,1,30,0.5,1
enemy_5,0,50,0.2,1
#reward,500,,,
,,,Wave 44,
enemy_8,0,0,0,
enemy_8,0,10,1,1.05
#reward,500,,,
,,,Wave 45,
Enemy_5,0,0,0,
enemy_5,0,25,0.2,1.05
enemy_6,0,30,0.25,1.05
enemy_9,1,30,0.5,1.05
enemy_9,0,15,0.2,
#reward,500,,,
,,,Wave 46,
boss_1,0,0,0,
boss_1,0,1,1,
#reward,1000,,,
,,,Wave 47,
enemy_7,0,0,0,
enemy_7,0,50,0.3,1.05
enemy_9,1,12,0.6,1.05
#reward,500,,,
,,,Wave 48,
enemy_7,0,0,0,1.05
enemy_7,0,60,0.2,1.05
enemy_9,1.5,30,0.35,1.05
#reward,500,,,
,,,Wave 49,
enemy_1,0,0,0,
enemy_12,0,18,0.9,1.05
enemy_8,3,8,0.75,1.05
#reward,2000,,,
,,,Wave 50,
enemy_10,0,0,0,
enemy_12,0,20,0.9,
enemy_10,0,7,1.2,
enemy_6,1,20,0.4,
boss_1,1,2,15,
#reward,600,,,
,,,Wave 51,
enemy_11,0,0,0,
enemy_11,0,10,0.5,
enemy_5,1,20,0.3,
enemy_11,0,10,0.5,
enemy_5,1,30,0.3,
#reward,600,,,
,,,Wave 52,
enemy_10,0,0,0,
enemy_10,0,5,0.25,1
enemy_7,0,120,0.25,1.15
enemy_9,1,50,0.3,1.15
#reward,600,,,
,,,Wave 53,
enemy_11,0,0,0,
enemy_12,0,30,0.9,1.15
enemy_8,0,8,0.65,1.15
enemy_5,0,100,0.2,1.15
enemy_12,1,15,0.8,1.15
#reward,600,,,
,,,Wave 54,
enemy_6,0,0,0,
enemy_8,0,5,0.8,1.15
enemy_8,0,3,0.4,1.15
enemy_7,0,15,0.4,1.15
enemy_11,0,20,0.3,1.15
enemy_6,0.4,20,0.2,1.15
enemy_9,0.3,20,0.3,1.15
#reward,600,,,
,,,Wave 55,
enemy_10,0,0,0,
enemy_13,0,3,1.75,
enemy_11,1,10,0.5,
#reward,600,,,
,,,Wave 56,
enemy_7,0,0,0,
enemy_13,0,15,1.6,1.1
enemy_9,1.5,30,0.6,1.1
enemy_7,0,15,0.3,1.1
enemy_9,1,60,0.3,1.1
enemy_10,1,20,0.4,1.1
enemy_11,0,30,0.2,1.1
#reward,600,,,
,,,Wave 57,
enemy_7,0,0,0,
enemy_7,0,70,0.15,
enemy_9,1,50,0.2,
enemy_7,0,70,0.15,
enemy_9,1,60,0.2,
enemy_11,0,60,0.2,
enemy_10,0,25,0.3,
#reward,700,,,
,,,Wave 58,
enemy_1,0,0,0,
enemy_1,0,20,0.1,1.1
enemy_8,0,5,1.2,1.1
enemy_13,0,25,1.5,1.1
enemy_1,0,70,0.1,1.1
enemy_8,0,12,1,1.1
enemy_12,0,40,0.2,
#reward,2000,,,
,,,Wave 59,
enemy_1,0,0,0,
enemy_1,0,10,0.1,1.1
enemy_8,0,12,0.9,1.1
boss_1,0,2,10,1.1
enemy_7,0,10,0.1,1.1
enemy_8,0,10,0.7,1.1
boss_1,0,2,10,1
#reward,3000,,,
,,,Wave 60,
